Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,RelSpeed,PlayResult,TaggedHitType
2026/8/30,2,4,香西,Left,2,Right,1,2,1,Fastball,InPlay,135,Out,FlyBall
2026/8/30,3,1,香西,Left,3,Right,2,0,0,Fastball,StrikeCalled,139,,
2026/8/30,3,2,香西,Left,3,Right,2,0,1,Fastball,FoulBallFieldable,138,,
2026/8/30,3,3,香西,Left,3,Right,2,0,2,Fastball,FoulBallFieldable,132,,
2026/8/30,3,4,香西,Left,3,Right,2,0,2,Fastball,BallCalled,139,,
2026/8/30,3,5,香西,Left,3,Right,2,1,2,Splitter,BallCalled,121,,
2026/8/30,3,6,香西,Left,3,Right,2,2,2,Fastball,BallCalled,139,,
2026/8/30,3,7,香西,Left,3,Right,2,3,2,Fastball,FoulBallFieldable,137,,
2026/8/30,3,8,香西,Left,3,Right,2,3,2,Cutter,StrikeSwinging,124,Out,
2026/8/30,1,1,香西,Left,4,Right,0,0,0,Cutter,StrikeCalled,123,,
2026/8/30,1,2,香西,Left,4,Right,0,0,1,Fastball,StrikeSwinging,136,,
2026/8/30,1,3,香西,Left,4,Right,0,0,2,Fastball,BallCalled,135,,
2026/8/30,1,4,香西,Left,4,Right,0,1,2,Splitter,BallCalled,120,,
2026/8/30,1,5,香西,Left,4,Right,0,2,2,Fastball,InPlay,135,Double,GroundBall
2026/8/30,2,1,香西,Left,5,Right,0,0,0,Fastball,BallCalled,134,,
2026/8/30,2,2,香西,Left,5,Right,0,1,0,Splitter,StrikeSwinging,130,,
2026/8/30,2,3,香西,Left,5,Right,0,1,1,Fastball,StrikeCalled,138,,
2026/8/30,2,4,香西,Left,5,Right,0,1,2,Fastball,FoulBallFieldable,138,,
2026/8/30,2,5,香西,Left,5,Right,0,1,2,Cutter,InPlay,125,Single,FlyBall
2026/8/30,3,1,香西,Left,6,Right,0,0,0,Fastball,BallCalled,137,,
2026/8/30,3,2,香西,Left,6,Right,0,1,0,Fastball,StrikeCalled,128,FieldersChoice,GroundBall
2026/8/30,4,1,香西,Left,7,Right,0,0,0,Fastball,BallCalled,135,,
2026/8/30,4,2,香西,Left,7,Right,0,1,0,Fastball,BallCalled,137,,
2026/8/30,4,3,香西,Left,7,Right,0,2,0,Fastball,FoulBallFieldable,132,,
2026/8/30,4,4,香西,Left,7,Right,0,2,1,Fastball,StrikeCalled,136,Out,GroundBall
2026/8/30,5,1,香西,Left,8,Right,1,0,0,Splitter,BallCalled,124,,
2026/8/30,5,2,香西,Left,8,Right,1,1,0,Cutter,StrikeSwinging,130,,
2026/8/30,5,3,香西,Left,8,Right,1,1,1,Fastball,StrikeSwinging,137,,
2026/8/30,5,4,香西,Left,8,Right,1,1,2,Cutter,BallCalled,131,,
2026/8/30,5,5,香西,Left,8,Right,1,2,2,Fastball,BallCalled,140,,
2026/8/30,5,6,香西,Left,8,Right,1,3,2,Cutter,StrikeSwinging,129,Out,
2026/8/30,6,1,香西,Left,9,Left,2,0,0,Splitter,BallCalled,125,,
2026/8/30,6,2,香西,Left,9,Left,2,1,0,Fastball,BallCalled,135,,
2026/8/30,6,3,香西,Left,9,Left,2,2,0,Fastball,StrikeCalled,131,Out,FlyBall
2026/8/30,1,1,髙橋煌,Right,1,Right,0,0,0,Cutter,FoulBallFieldable,137,,
2026/8/30,1,2,髙橋煌,Right,1,Right,0,0,1,Fastball,FoulBallFieldable,150,,
2026/8/30,1,3,髙橋煌,Right,1,Right,0,0,2,Fastball,BallCalled,152,,
2026/8/30,1,4,髙橋煌,Right,1,Right,0,1,2,Fastball,StrikeCalled,151,Strikeout,
2026/8/30,2,1,髙橋煌,Right,2,Right,1,0,0,Fastball,StrikeCalled,146,,
2026/8/30,2,2,髙橋煌,Right,2,Right,1,0,1,Cutter,StrikeCalled,130,,
2026/8/30,2,3,髙橋煌,Right,2,Right,1,0,2,Fastball,BallCalled,150,,
2026/8/30,2,4,髙橋煌,Right,2,Right,1,1,2,Cutter,InPlay,135,Single,GroundBall
2026/8/30,3,1,髙橋煌,Right,3,Right,1,0,0,Cutter,BallCalled,135,,
2026/8/30,3,2,髙橋煌,Right,3,Right,1,1,0,Fastball,InPlay,146,Out,Popup
2026/8/30,4,1,髙橋煌,Right,4,Right,2,0,0,Fastball,BallCalled,144,,
2026/8/30,4,2,髙橋煌,Right,4,Right,2,1,0,Cutter,InPlay,137,Single,GroundBall
2026/8/30,5,1,髙橋煌,Right,5,Right,2,0,0,Cutter,BallCalled,138,,
2026/8/30,5,2,髙橋煌,Right,5,Right,2,1,0,Cutter,BallCalled,138,,
2026/8/30,5,3,髙橋煌,Right,5,Right,2,2,0,Fastball,BallCalled,148,,
2026/8/30,5,4,髙橋煌,Right,5,Right,2,3,0,Fastball,StrikeCalled,147,,
2026/8/30,5,5,髙橋煌,Right,5,Right,2,3,1,Cutter,FoulBallFieldable,139,,
